Market,Regime,Trend,Model,Strategy Return (%),B&H Return (%),Max DD (%),Final $,Long (%),Short (%),Turnover,Tie Warning
Gold,SMA200,Overall,MLP,0.14,-8.32,-15.45,10014.47,51.5,37.4,26.0,
Gold,,Uptrend,MLP,10.52,-7.17,-6.27,11052.3,,,,
Gold,,Downtrend,MLP,-4.64,-1.23,-14.67,9535.56,,,,
Gold,SMA200,Overall,Transformer,-3.52,-8.32,-15.96,9648.32,53.6,33.1,5.0,
Gold,,Uptrend,Transformer,-6.1,-7.17,-14.64,9389.84,,,,
Gold,,Downtrend,Transformer,3.68,-1.23,-12.34,10368.26,,,,
Gold,SMA200,Overall,RandomForest,9.73,-8.32,-10.61,10973.33,87.3,1.6,5.0,
Gold,,Uptrend,RandomForest,-1.34,-7.17,-7.6,9866.31,,,,
Gold,,Downtrend,RandomForest,12.23,-1.23,-7.29,11222.67,,,,
Gold,SMA200,Overall,SVM,-2.65,-8.32,-13.7,9735.01,88.8,0.0,1.0,
Gold,,Uptrend,SVM,-1.34,-7.17,-7.6,9866.31,,,,
Gold,,Downtrend,SVM,-1.23,-1.23,-11.43,9876.8,,,,
Gold,SMA200,Overall,XGBoost,-2.93,-8.32,-13.7,9707.32,88.6,0.2,3.0,
Gold,,Uptrend,XGBoost,-1.34,-7.17,-7.6,9866.31,,,,
Gold,,Downtrend,XGBoost,-1.12,-1.23,-11.43,9888.22,,,,
Gold,GMM,Overall,LSTM,-9.05,-8.32,-17.34,9095.31,92.8,7.2,7.0,
Gold,,Uptrend,LSTM,-8.59,-9.05,-17.93,9140.57,,,,
Gold,,Downtrend,LSTM,0.81,0.81,0.0,10080.82,,,,
Gold,GMM,Overall,CNN,-3.92,-8.32,-13.7,9608.17,89.2,0.0,1.0,
Gold,,Uptrend,CNN,-4.59,-9.05,-14.39,9540.68,,,,
Gold,,Downtrend,CNN,0.81,0.81,0.0,10080.82,,,,
Gold,GMM,Overall,MLP,2.77,-8.32,-10.61,10277.12,83.0,6.3,4.0,
Gold,,Uptrend,MLP,2.96,-9.05,-10.61,10295.7,,,,
Gold,,Downtrend,MLP,0.52,0.81,-0.23,10052.15,,,,
Gold,GMM,Overall,Transformer,2.85,-8.32,-10.61,10285.22,84.0,5.3,2.0,
Gold,,Uptrend,Transformer,2.16,-9.05,-10.61,10215.68,,,,
Gold,,Downtrend,Transformer,0.98,0.81,0.0,10098.35,,,,
Gold,GMM,Overall,RandomForest,16.36,-8.32,-10.61,11635.55,79.6,4.3,2.0,
Gold,,Uptrend,RandomForest,16.2,-9.05,-10.61,11620.08,,,,
Gold,,Downtrend,RandomForest,0.43,0.81,-0.23,10043.42,,,,
Gold,GMM,Overall,SVM,-3.92,-8.32,-13.7,9608.17,89.2,0.0,1.0,
Gold,,Uptrend,SVM,-4.59,-9.05,-14.39,9540.68,,,,
Gold,,Downtrend,SVM,0.81,0.81,0.0,10080.82,,,,
Gold,GMM,Overall,XGBoost,-3.92,-8.32,-13.7,9608.17,89.2,0.0,1.0,
Gold,,Uptrend,XGBoost,-4.59,-9.05,-14.39,9540.68,,,,
Gold,,Downtrend,XGBoost,0.81,0.81,0.0,10080.82,,,,
Gold,ADX,Overall,LSTM,-8.78,-8.32,-17.34,9121.83,97.3,2.7,3.0,
Gold,,Uptrend,LSTM,0.77,0.78,-6.91,10077.12,,,,
Gold,,Downtrend,LSTM,-9.03,-9.03,-17.34,9097.44,,,,
Gold,ADX,Overall,CNN,-10.15,-8.32,-18.7,8985.24,92.0,6.8,12.0,
Gold,,Uptrend,CNN,1.37,0.78,-6.91,10136.51,,,,
Gold,,Downtrend,CNN,-9.29,-9.03,-18.09,9070.67,,,,
Gold,ADX,Overall,MLP,-1.92,-8.32,-17.25,9808.14,19.0,79.8,46.0,
Gold,,Uptrend,MLP,-1.73,0.78,-6.94,9827.31,,,,
Gold,,Downtrend,MLP,9.32,-9.03,-11.72,10932.33,,,,
Gold,ADX,Overall,Transformer,-0.34,-8.32,-17.93,9965.52,67.7,31.1,10.0,
Gold,,Uptrend,Transformer,1.37,0.78,-6.91,10136.51,,,,
Gold,,Downtrend,Transformer,0.2,-9.03,-17.81,10020.08,,,,
Gold,ADX,Overall,RandomForest,9.87,-8.32,-12.4,10986.75,82.4,16.4,19.0,
Gold,,Uptrend,RandomForest,5.53,0.78,-4.59,10552.95,,,,
Gold,,Downtrend,RandomForest,8.04,-9.03,-11.25,10803.89,,,,
Gold,ADX,Overall,SVM,-7.88,-8.32,-17.34,9212.4,98.8,0.0,1.0,
Gold,,Uptrend,SVM,1.37,0.78,-6.91,10136.51,,,,
Gold,,Downtrend,SVM,-9.03,-9.03,-17.34,9097.44,,,,
Gold,ADX,Overall,XGBoost,-14.1,-8.32,-16.86,8589.67,95.5,3.3,19.0,
Gold,,Uptrend,XGBoost,1.37,0.78,-6.91,10136.51,,,,
Gold,,Downtrend,XGBoost,-12.06,-9.03,-16.53,8793.72,,,,
Gold,HMM,Overall,LSTM,-9.05,-8.32,-17.34,9095.31,92.8,7.2,7.0,
Gold,,Uptrend,LSTM,-7.86,-8.32,-17.34,9214.44,,,,
Gold,HMM,Overall,CNN,0.0,-8.32,0.0,10000.0,0.0,0.0,0.0,
Gold,,Uptrend,CNN,0.0,-8.32,0.0,10000.0,,,,
Gold,HMM,Overall,MLP,-4.04,-8.32,-13.7,9596.04,86.1,0.0,1.0,
Gold,,Uptrend,MLP,-3.94,-8.32,-13.7,9605.65,,,,
Gold,HMM,Overall,Transformer,0.0,-8.32,0.0,10000.0,0.0,0.0,0.0,
Gold,,Uptrend,Transformer,0.0,-8.32,0.0,10000.0,,,,
Gold,HMM,Overall,RandomForest,0.0,-8.32,0.0,10000.0,0.0,0.0,0.0,
Gold,,Uptrend,RandomForest,0.0,-8.32,0.0,10000.0,,,,
Gold,HMM,Overall,SVM,-1.22,-8.32,-10.61,9878.07,71.6,0.0,1.0,
Gold,,Uptrend,SVM,-1.12,-8.32,-10.61,9887.96,,,,
